Title,Artist,Album,Duration,FilePath
Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',256,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE
Not Like Us,Kendrick Lamar,Not Like Us,274,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3
BAND4BAND (feat. Lil Baby),Central Cee; Lil Baby,BAND4BAND (feat. Lil Baby),140,https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD
Type Shit,Future; Metro Boomin; Travis Scott; Playboi Carti,WE DON'T TRUST YOU,228,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C
Bent (with Kyle Richh; Jenn Carter & TaTa),41; Kyle Richh; Jenn Carter; TaTa,41 World: Not The Album,171,https://api.spotify.com/v1/tracks/1haa8GXT0cl9wzRnpZG0YH
Dior,Pop Smoke,Meet The Woo,216,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep
SAY MY GRACE (feat. Travis Scott),Offset; Travis Scott,SET IT OFF,173,https://api.spotify.com/v1/tracks/2Gk6fi0dqt91NKvlzGsmm7
6locc 6a6y,Lil Loaded,6locc 6a6y,131,https://api.spotify.com/v1/tracks/3WCXvxgQ7U3mznWsQjiEMu
All My Life (feat. J. Cole),Lil Durk; J. Cole,All My Life (feat. J. Cole),223,https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin; Future; Chris Brown,HEROES & VILLAINS,182,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j
Took Her To The O,King Von,Levon James,196,https://api.spotify.com/v1/tracks/7fEoXCZTZFosUFvFQg1BmW
Loading,Central Cee,Wild West,173,https://api.spotify.com/v1/tracks/4vzJrkfHbCGaodPA5RY5BV
née-nah,21 Savage; Travis Scott; Metro Boomin,american dream,220,https://api.spotify.com/v1/tracks/2yUzr8Sr6ldG8vmHhZwTnz
Love Sosa,Chief Keef,Finally Rich,246,https://api.spotify.com/v1/tracks/01Lr5YepbgjXAWR9iOEyH1
Drankin N Smokin,Future; Lil Uzi Vert,Pluto x Baby Pluto,213,https://api.spotify.com/v1/tracks/0k7wmahjkn389wAZdz19Cv
Invincible,Pop Smoke,Meet The Woo 2,127,https://api.spotify.com/v1/tracks/792HwhrdO3ErRKL5yRe4Ge
